episode_id,overall,episode_code,season,episode,episode_title,director_id,episode_writer_id,original_air_date,viewer_count
51,51,S03E07,3,7,I Kissed a Girl,13,9,2011-11-29,7.9
95,95,S05E07,5,7,Puppet Master,19,9,2013-11-28,2.84
115,115,S06E07,6,7,Transitioning,22,9,2015-02-13,1.81
85,85,S04E19,4,19,Sweet Dreams,4,10,2013-04-18,6.14
61,61,S03E17,3,17,Dance with Somebody,5,10,2012-04-24,6.9
52,52,S03E08,3,8,Hold On to Sixteen,11,10,2011-12-06,7.11
77,77,S04E11,4,11,Sadie Hawkins,11,10,2013-01-24,6.79
116,116,S06E08,6,8,A Wedding,11,10,2015-02-20,1.86
96,96,S05E08,5,8,Previously Unaired Christmas,18,10,2013-12-05,3.29
99,99,S05E11,5,11,City of Angels,4,16,2014-03-11,2.3
118,118,S06E10,6,10,The Rise and Fall of Sue Sylvester,24,16,2015-03-06,1.81
83,83,S04E17,4,17,Guilty Pleasures,9,12,2013-03-21,5.91
74,74,S04E08,4,8,Thanksgiving,11,12,2012-11-29,5.39
92,92,S05E04,5,4,A Katy or a Gaga,17,12,2013-11-07,4.01
104,104,S05E16,5,16,Tested,19,12,2014-04-15,2.44
27,27,S02E05,2,5,The Rocky Horror Glee Show,10,5,2010-10-26,11.76
97,97,S05E09,5,9,Frenemies,11,14,2014-02-25,2.99
117,117,S06E09,6,9,Child Star,23,14,2015-02-27,1.69
107,107,S05E19,5,19,"Old Dog, New Tricks",11,17,2014-05-06,2.1
53,53,S03E09,3,9,Extraordinary Merry Christmas,15,11,2011-12-13,7.13
62,62,S03E18,3,18,Choke,16,11,2012-05-01,6.01
98,98,S05E10,5,10,Trio,17,15,2014-03-04,2.68
119,119,S06E11,6,11,We Built This Glee Club,25,18,2015-03-13,2.02
